,match_id,player_slot,radiant_win,duration,game_mode,lobby_type,hero_id,start_time,version,kills,deaths,assists,skill,leaver_status,party_size,win,side,localized_name,my_hero_rating
951,5227008934,2,False,2417,4,0,84,2020-02-04 22:55:17,21.0,4,7,9,1.0,0,4.0,0,Radiant,Ogre Magi,5
952,5226979221,131,False,2105,5,0,84,2020-02-04 22:04:44,21.0,1,1,21,1.0,0,4.0,1,Dire,Ogre Magi,5
620,5225477437,130,False,3978,5,0,67,2020-02-03 22:50:51,21.0,18,6,28,2.0,0,3.0,1,Dire,Spectre,3
222,5223873673,130,True,2372,5,0,30,2020-02-02 21:23:39,21.0,5,6,13,1.0,0,4.0,0,Dire,Witch Doctor,5
484,5223824152,2,False,2335,4,0,22,2020-02-02 20:28:56,21.0,8,5,17,1.0,0,5.0,0,Radiant,Zeus,4
1015,5223739984,130,False,3638,3,0,28,2020-02-02 19:08:12,21.0,2,11,14,,0,5.0,1,Dire,Slardar,1
36,5223669306,132,False,2489,4,0,110,2020-02-02 18:07:58,21.0,9,6,26,1.0,0,3.0,1,Dire,Phoenix,1
276,5222154932,130,False,2906,4,0,83,2020-02-01 22:16:52,21.0,3,5,21,1.0,0,4.0,1,Dire,Treant Protector,2
592,5222108654,4,True,810,4,0,72,2020-02-01 21:25:27,21.0,2,1,2,1.0,0,4.0,1,Radiant,Gyrocopter,5
763,5220306528,129,True,2499,3,0,103,2020-01-31 20:05:18,21.0,7,7,12,2.0,0,3.0,0,Dire,Elder Titan,1
1084,5220252399,129,True,2274,5,0,71,2020-01-31 19:13:50,21.0,6,2,19,1.0,0,5.0,0,Dire,Spirit Breaker,2
1114,5220163627,129,True,2348,4,0,15,2020-01-31 17:57:40,21.0,3,8,18,1.0,0,5.0,0,Dire,Razor,1
448,5218775218,131,False,1902,5,0,90,2020-01-30 20:42:31,21.0,0,1,22,1.0,0,3.0,1,Dire,Keeper of the Light,5
1128,5218689742,130,True,4653,4,0,89,2020-01-30 19:12:52,21.0,12,7,25,1.0,0,3.0,0,Dire,Naga Siren,3
787,5218624956,3,True,3114,4,0,111,2020-01-30 18:09:12,21.0,3,3,20,1.0,0,3.0,1,Radiant,Oracle,5
375,5217204764,130,False,2060,4,0,75,2020-01-29 19:00:37,21.0,1,4,12,1.0,0,3.0,1,Dire,Silencer,3
1129,5217158941,130,False,2066,5,0,89,2020-01-29 18:18:51,21.0,12,1,16,1.0,0,4.0,1,Dire,Naga Siren,3
92,5215674311,1,False,2741,5,0,3,2020-01-28 18:34:28,21.0,3,5,14,1.0,0,4.0,0,Radiant,Bane,5
254,5215579187,130,False,4116,5,0,35,2020-01-28 17:12:09,21.0,8,7,32,1.0,0,4.0,1,Dire,Sniper,3
194,5212773717,2,False,2008,5,0,9,2020-01-26 19:36:03,21.0,3,4,3,1.0,0,4.0,0,Radiant,Mirana,3
1142,5211100392,130,False,2395,4,0,126,2020-01-25 17:02:01,21.0,10,3,14,1.0,0,3.0,1,Dire,Void Spirit,3
277,5208546801,130,False,3352,4,0,83,2020-01-23 17:35:06,21.0,7,4,37,,0,3.0,1,Dire,Treant Protector,2
1143,5208501331,3,True,2066,4,0,85,2020-01-23 16:48:10,21.0,10,4,16,1.0,0,3.0,1,Radiant,Undying,1
1156,5207436195,2,True,2757,4,0,32,2020-01-22 20:07:44,21.0,15,1,21,1.0,0,3.0,1,Radiant,Riki,3
1178,5207407208,2,False,1762,5,0,88,2020-01-22 19:30:51,21.0,3,5,5,1.0,0,4.0,0,Radiant,Nyx Assassin,2
1200,5207357598,1,True,1948,4,0,27,2020-01-22 18:33:58,21.0,1,4,22,1.0,0,4.0,1,Radiant,Shadow Shaman,5
255,5206213014,2,True,3114,4,0,35,2020-01-21 20:23:51,21.0,22,3,12,1.0,0,4.0,1,Radiant,Sniper,3
1085,5206123514,2,False,4785,22,0,71,2020-01-21 18:43:06,21.0,4,16,40,,0,5.0,0,Radiant,Spirit Breaker,2
603,5204909976,0,False,2610,22,0,53,2020-01-20 19:33:23,21.0,1,10,9,2.0,0,3.0,0,Radiant,Nature's Prophet,5
313,5204867678,129,True,1697,3,0,69,2020-01-20 18:47:47,21.0,1,7,5,1.0,0,4.0,0,Dire,Doom,1
295,5203713725,129,True,2098,5,0,37,2020-01-19 21:19:29,21.0,3,7,13,1.0,0,,0,Dire,Warlock,2
80,5203644136,130,False,3697,3,0,51,2020-01-19 19:54:36,21.0,7,7,24,,0,4.0,1,Dire,Clockwerk,1
764,5202295700,4,True,3209,4,0,103,2020-01-18 21:16:54,21.0,5,5,33,1.0,0,5.0,1,Radiant,Elder Titan,1
681,5200914508,130,True,2268,4,0,70,2020-01-17 22:18:53,21.0,6,6,9,1.0,0,2.0,0,Dire,Ursa,3
151,5200891173,131,True,1602,3,0,64,2020-01-17 21:40:18,21.0,1,2,4,1.0,0,2.0,0,Dire,Jakiro,3
1263,5200797556,130,False,2454,4,0,5,2020-01-17 19:52:29,21.0,3,8,8,1.0,0,3.0,1,Dire,Crystal Maiden,5
485,5200741439,3,True,2785,3,0,22,2020-01-17 18:53:08,21.0,7,8,24,1.0,0,3.0,1,Radiant,Zeus,4
1310,5200688859,131,False,2570,5,0,6,2020-01-17 18:01:40,21.0,17,1,12,1.0,0,3.0,1,Dire,Drow Ranger,3
1130,5200646954,3,True,1674,5,0,89,2020-01-17 17:22:10,21.0,4,3,9,1.0,0,4.0,1,Radiant,Naga Siren,3
152,5199612616,130,True,2698,3,0,64,2020-01-16 21:01:22,21.0,6,8,9,1.0,0,2.0,0,Dire,Jakiro,3
153,5198412609,128,False,2148,4,0,64,2020-01-15 21:05:14,21.0,9,2,18,1.0,0,3.0,1,Dire,Jakiro,3
788,5198369755,128,False,2835,4,0,111,2020-01-15 20:06:42,21.0,3,2,26,1.0,0,3.0,1,Dire,Oracle,5
1201,5198325457,132,True,2611,4,0,27,2020-01-15 19:12:21,21.0,2,5,11,1.0,0,4.0,0,Dire,Shadow Shaman,5
1322,5198292380,129,True,1888,4,0,68,2020-01-15 18:31:54,21.0,3,8,8,1.0,0,4.0,0,Dire,Ancient Apparition,5
1349,5197142122,130,False,1942,4,0,79,2020-01-14 19:58:15,21.0,4,2,15,1.0,0,3.0,1,Dire,Shadow Demon,1
1264,5197113232,2,True,1545,4,0,5,2020-01-14 19:23:20,21.0,3,2,9,1.0,0,3.0,1,Radiant,Crystal Maiden,5
1016,5197071877,2,True,2047,4,0,28,2020-01-14 18:38:06,21.0,12,2,17,1.0,0,3.0,1,Radiant,Slardar,1
1323,5195979479,131,False,2146,4,0,68,2020-01-13 20:55:12,21.0,9,3,22,1.0,0,3.0,1,Dire,Ancient Apparition,5
1431,5195934256,3,True,3018,5,0,73,2020-01-13 19:56:07,21.0,7,3,16,1.0,0,3.0,1,Radiant,Alchemist,3
1437,5195896518,131,True,1862,4,0,91,2020-01-13 19:11:07,21.0,1,4,3,1.0,0,4.0,0,Dire,Io,3
1458,5194830124,0,False,3555,4,0,42,2020-01-12 22:13:23,21.0,8,7,22,,0,4.0,0,Radiant,Wraith King,3
1265,5194818949,129,False,616,4,0,5,2020-01-12 21:56:12,21.0,0,0,2,1.0,0,4.0,1,Dire,Crystal Maiden,5
604,5194785589,128,False,2213,4,0,53,2020-01-12 21:07:17,21.0,3,2,17,1.0,0,4.0,1,Dire,Nature's Prophet,5
1474,5194738871,131,True,2326,4,0,55,2020-01-12 20:07:35,21.0,3,4,12,,0,,0,Dire,Dark Seer,5
1179,5193397700,2,False,2082,5,0,88,2020-01-11 22:56:55,21.0,6,7,13,1.0,0,3.0,0,Radiant,Nyx Assassin,2
1505,5193366468,2,True,1527,5,0,61,2020-01-11 22:14:25,21.0,12,0,13,1.0,0,3.0,1,Radiant,Broodmother,3
1512,5193326376,130,False,2238,5,0,31,2020-01-11 21:25:49,21.0,4,3,17,1.0,0,3.0,1,Dire,Lich,5
1539,5193290647,129,True,1840,5,0,97,2020-01-11 20:45:43,21.0,0,12,9,1.0,0,4.0,0,Dire,Magnus,1
1,5191846399,1,False,2392,4,0,48,2020-01-10 21:20:57,21.0,9,6,8,1.0,0,4.0,0,Radiant,Luna,3
27,5191805115,2,False,2362,5,0,113,2020-01-10 20:33:38,21.0,6,6,9,1.0,0,4.0,0,Radiant,Arc Warden,3
81,5191763015,1,False,1936,3,0,51,2020-01-10 19:47:36,21.0,7,5,9,1.0,0,4.0,0,Radiant,Clockwerk,1
1131,5191706272,129,False,2616,4,0,89,2020-01-10 18:49:08,21.0,10,3,14,1.0,0,5.0,1,Dire,Naga Siren,3
1550,5191647975,1,False,2544,3,0,106,2020-01-10 17:52:41,21.0,2,8,9,1.0,0,5.0,0,Radiant,Ember Spirit,3
1558,5184554751,1,False,2124,3,0,121,2020-01-05 11:02:27,,0,5,5,,0,,0,Radiant,Grimstroke,5
486,5184457264,129,False,4004,4,0,22,2020-01-05 09:43:10,21.0,3,8,26,,0,5.0,1,Dire,Zeus,4
692,5183811825,2,True,3568,4,0,101,2020-01-04 21:23:50,21.0,11,15,22,,0,,1,Radiant,Skywrath Mage,5
449,5183774111,2,False,1888,4,0,90,2020-01-04 20:42:45,21.0,1,10,8,1.0,0,,0,Radiant,Keeper of the Light,5
1157,5183710678,2,False,3199,4,0,32,2020-01-04 19:38:52,21.0,5,18,17,1.0,0,5.0,0,Radiant,Riki,3
2,5183664548,131,True,1308,3,0,48,2020-01-04 18:55:41,21.0,0,4,4,3.0,0,4.0,0,Dire,Luna,3
1559,5183611055,3,True,1699,4,0,121,2020-01-04 18:07:45,21.0,2,1,20,1.0,0,4.0,1,Radiant,Grimstroke,5
1561,5180625893,129,True,3133,4,0,16,2020-01-02 17:23:19,,4,5,18,1.0,0,,0,Dire,Sand King,1
1659,5180571102,3,True,2182,4,0,20,2020-01-02 16:36:05,,2,5,22,1.0,0,,1,Radiant,Vengeful Spirit,2
487,5180495926,132,False,2875,4,0,22,2020-01-02 15:37:32,,7,7,33,1.0,0,,1,Dire,Zeus,4
1144,5176810443,130,False,2783,4,0,85,2019-12-30 23:30:57,,2,7,18,1.0,0,,1,Dire,Undying,1
1683,5176781530,2,True,2349,4,0,44,2019-12-30 22:46:13,,13,1,11,1.0,0,,1,Radiant,Phantom Assassin,3
37,5176750685,2,True,1462,4,0,110,2019-12-30 22:03:25,,3,2,8,2.0,0,,1,Radiant,Phoenix,1
278,5162456288,128,False,3179,4,0,83,2019-12-20 17:58:26,,3,5,34,,0,,1,Dire,Treant Protector,2
1716,5162379630,1,False,3590,4,0,102,2019-12-20 16:51:22,,6,4,10,,0,,0,Radiant,Abaddon,5
488,5160027067,131,False,2153,4,0,22,2019-12-18 19:01:44,,4,1,24,1.0,0,,1,Dire,Zeus,4
1086,5159980760,3,False,2462,5,0,71,2019-12-18 18:08:59,,4,5,22,1.0,0,,0,Radiant,Spirit Breaker,2
682,5158889629,3,True,2569,5,0,70,2019-12-17 20:11:31,,6,7,20,1.0,0,,1,Radiant,Ursa,3
400,5158859013,131,True,1773,5,0,57,2019-12-17 19:32:46,21.0,0,6,1,,0,,0,Dire,Omniknight,1
172,5158808608,129,False,2479,3,0,87,2019-12-17 18:33:31,,7,4,29,1.0,0,,1,Dire,Disruptor,5
1731,5157718260,131,True,3027,5,0,49,2019-12-16 20:21:07,,3,8,15,1.0,0,,0,Dire,Dragon Knight,3
82,5156548528,3,False,1728,3,0,51,2019-12-15 21:44:28,,4,6,2,1.0,0,,0,Radiant,Clockwerk,1
1744,5156517271,129,True,2027,5,0,56,2019-12-15 20:59:47,,4,5,5,1.0,0,,0,Dire,Clinkz,3
489,5156482989,1,True,1894,3,0,22,2019-12-15 20:16:15,,6,4,25,1.0,0,,1,Radiant,Zeus,4
1475,5155136044,2,False,3851,3,0,55,2019-12-14 23:50:55,21.0,5,7,43,1.0,0,3.0,0,Radiant,Dark Seer,5
1017,5155096738,130,True,2980,3,0,28,2019-12-14 22:46:11,21.0,3,6,15,1.0,0,3.0,0,Dire,Slardar,1
38,5155046360,131,False,2845,5,0,110,2019-12-14 21:36:58,,7,7,30,1.0,0,,1,Dire,Phoenix,1
1158,5153396962,1,False,3124,3,0,32,2019-12-13 19:06:02,,15,7,16,,0,,0,Radiant,Riki,3
1145,5153345529,3,False,2437,4,0,85,2019-12-13 18:17:52,,6,11,12,1.0,0,,0,Radiant,Undying,1
1146,5153233705,3,False,2040,4,0,85,2019-12-13 16:46:37,,2,9,12,1.0,0,,0,Radiant,Undying,1
279,5152039769,1,False,2825,4,0,83,2019-12-12 17:58:02,21.0,4,8,24,1.0,0,3.0,0,Radiant,Treant Protector,2
1757,5151984029,129,True,2317,4,0,76,2019-12-12 17:03:16,,5,7,8,1.0,0,,0,Dire,Outworld Devourer,5
376,5151908012,129,False,2386,4,0,75,2019-12-12 15:55:35,,0,6,18,1.0,0,,1,Dire,Silencer,3
3,5148413119,2,False,2129,3,0,48,2019-12-09 18:47:08,,9,5,9,1.0,0,,0,Radiant,Luna,3
1459,5148373564,0,False,1724,5,0,42,2019-12-09 18:06:18,,1,6,1,1.0,0,3.0,0,Radiant,Wraith King,3
1324,5124958399,128,False,2554,4,0,68,2019-11-23 16:37:33,21.0,4,4,30,1.0,0,,1,Dire,Ancient Apparition,5
605,5088451990,1,True,2985,4,0,53,2019-10-27 19:35:23,21.0,1,8,33,1.0,0,2.0,1,Radiant,Nature's Prophet,5
1760,5088400604,4,False,2645,4,0,92,2019-10-27 18:44:18,21.0,4,9,14,1.0,0,2.0,0,Radiant,Visage,3
1767,5075052228,130,False,4433,4,0,99,2019-10-18 17:52:01,21.0,12,4,33,,0,3.0,1,Dire,Bristleback,1
93,5075000682,1,False,2066,4,0,3,2019-10-18 17:11:26,21.0,3,9,10,1.0,0,4.0,0,Radiant,Bane,5
564,5066537344,128,False,2618,4,0,86,2019-10-12 19:02:37,21.0,1,5,21,,0,3.0,1,Dire,Rubick,5
670,5058089822,129,False,2781,4,0,114,2019-10-06 20:05:40,21.0,12,8,18,1.0,0,,1,Dire,Monkey King,3
1780,5058030215,1,True,2733,5,0,21,2019-10-06 19:05:15,21.0,7,5,24,,0,,1,Radiant,Windranger,3
1562,5056107184,129,False,3806,5,0,16,2019-10-05 16:41:30,21.0,6,7,36,,0,,1,Dire,Sand King,1
1432,5056035243,1,True,1916,4,0,73,2019-10-05 15:56:06,21.0,5,3,17,1.0,0,,1,Radiant,Alchemist,3
1202,5046914930,1,False,2611,4,0,27,2019-09-29 17:33:20,21.0,4,15,13,1.0,0,3.0,0,Radiant,Shadow Shaman,5
1809,5045260828,0,True,3720,22,0,63,2019-09-28 18:20:13,21.0,6,4,18,,0,5.0,1,Radiant,Weaver,3
1159,5037547719,129,True,3012,22,0,32,2019-09-23 18:12:53,21.0,11,8,15,,0,5.0,0,Dire,Riki,3
1325,5037465129,4,False,3228,22,0,68,2019-09-23 17:05:09,21.0,1,12,24,1.0,0,5.0,0,Radiant,Ancient Apparition,5
1829,5036035272,131,True,2865,22,0,112,2019-09-22 18:31:04,21.0,4,5,11,,0,5.0,0,Dire,Winter Wyvern,5
195,5031941281,3,True,3338,4,0,9,2019-09-20 15:27:04,21.0,10,5,32,,0,5.0,1,Radiant,Mirana,3
377,5029121086,131,True,2642,22,0,75,2019-09-18 17:30:41,21.0,3,10,11,,0,,0,Dire,Silencer,3
1203,5026335619,0,True,2281,4,0,27,2019-09-16 19:32:06,21.0,2,3,17,1.0,0,2.0,1,Radiant,Shadow Shaman,5
1563,5024294394,131,True,2274,22,0,16,2019-09-15 13:40:54,21.0,4,6,10,1.0,0,5.0,0,Dire,Sand King,1
709,5022660582,3,False,2977,4,0,38,2019-09-14 16:14:24,21.0,7,4,11,1.0,0,4.0,0,Radiant,Beastmaster,1
154,5021012776,132,True,3433,22,0,64,2019-09-13 18:24:44,21.0,5,6,25,,0,5.0,0,Dire,Jakiro,3
420,5017678839,130,False,1848,22,0,62,2019-09-11 17:43:16,21.0,5,1,20,,0,4.0,1,Dire,Bounty Hunter,3
378,5011197129,131,False,3192,22,0,75,2019-09-07 18:12:29,21.0,4,8,24,,0,5.0,1,Dire,Silencer,3
4,5009304327,129,True,3006,22,0,48,2019-09-06 18:15:13,21.0,3,6,16,,0,5.0,0,Dire,Luna,3
327,5009226181,3,False,2821,22,0,25,2019-09-06 17:11:04,21.0,10,6,10,1.0,0,5.0,0,Radiant,Lina,5
1845,5007594885,0,True,4893,22,0,52,2019-09-05 17:27:14,21.0,12,15,36,,0,5.0,1,Radiant,Leshrac,3
1350,5006083812,130,False,1799,22,0,79,2019-09-04 18:40:56,21.0,3,1,12,1.0,0,5.0,1,Dire,Shadow Demon,1
328,5006035376,2,True,1833,22,0,25,2019-09-04 17:59:20,21.0,6,4,21,1.0,0,5.0,1,Radiant,Lina,5
801,5005569849,1,True,2607,22,0,26,2019-09-04 13:18:11,21.0,1,9,9,,0,2.0,1,Radiant,Lion,5
693,4985154151,4,True,3649,4,0,101,2019-08-24 18:23:42,21.0,11,10,17,,0,5.0,1,Radiant,Skywrath Mage,5
543,4915899469,130,True,2646,3,0,14,2019-07-21 07:33:32,21.0,6,11,14,,0,,0,Dire,Pudge,2
1438,4915793043,130,True,2018,3,0,91,2019-07-21 06:36:21,21.0,3,7,6,1.0,0,,0,Dire,Io,3
83,4900467603,1,False,2011,4,0,51,2019-07-13 05:51:30,21.0,1,10,11,2.0,0,,0,Radiant,Clockwerk,1
593,4900349302,1,True,2786,4,0,72,2019-07-13 04:17:01,21.0,2,8,26,1.0,0,,1,Radiant,Gyrocopter,5
1909,4888201872,132,True,2792,5,0,40,2019-07-06 19:26:10,21.0,1,6,11,1.0,0,5.0,0,Dire,Venomancer,1
1745,4888126695,129,False,2092,5,0,56,2019-07-06 18:29:58,21.0,12,2,11,1.0,0,5.0,1,Dire,Clinkz,3
421,4888036056,0,False,3028,4,0,62,2019-07-06 17:23:33,21.0,1,7,10,,0,4.0,0,Radiant,Bounty Hunter,3
256,4879913349,129,True,4012,3,0,35,2019-07-02 17:49:27,21.0,15,7,28,,0,5.0,0,Dire,Sniper,3
906,4879789986,129,True,2929,4,0,45,2019-07-02 16:27:37,21.0,7,5,7,,0,5.0,0,Dire,Pugna,4
789,4859230478,132,True,1882,5,0,111,2019-06-23 07:13:01,21.0,0,5,9,1.0,0,,0,Dire,Oracle,5
1326,4859119286,132,False,2085,4,0,68,2019-06-23 06:15:47,21.0,4,6,15,1.0,0,,1,Dire,Ancient Apparition,5
1933,4858396709,132,False,2754,4,0,18,2019-06-22 19:48:02,21.0,4,1,18,,0,5.0,1,Dire,Sven,1
450,4858142699,1,False,2236,22,0,90,2019-06-22 17:05:18,21.0,0,8,9,1.0,0,4.0,0,Radiant,Keeper of the Light,5
802,4840011076,129,True,3092,4,0,26,2019-06-15 07:24:32,21.0,3,10,6,,0,5.0,0,Dire,Lion,5
329,4839846048,129,False,2772,4,0,25,2019-06-15 06:09:32,21.0,3,8,16,1.0,0,5.0,1,Dire,Lina,5
1266,4839024850,1,True,4058,4,0,5,2019-06-14 19:48:06,21.0,8,13,28,,0,5.0,1,Radiant,Crystal Maiden,5
1910,4838891430,129,True,3125,22,0,40,2019-06-14 18:24:04,21.0,5,9,25,,0,5.0,0,Dire,Venomancer,1
155,4824764558,2,False,2394,22,0,64,2019-06-09 08:00:13,21.0,1,7,12,,0,5.0,0,Radiant,Jakiro,3
1846,4824563250,132,True,2484,3,0,52,2019-06-09 06:46:40,21.0,4,5,12,,1,,0,Dire,Leshrac,3
1132,4649913085,3,False,1653,4,0,89,2019-04-14 05:46:14,21.0,0,5,3,1.0,0,3.0,0,Radiant,Naga Siren,3
196,4648791194,3,False,1583,4,0,9,2019-04-13 19:27:18,,2,4,2,1.0,1,,0,Radiant,Mirana,3
1958,4648698461,132,True,2200,4,0,50,2019-04-13 18:43:51,21.0,2,3,8,1.0,0,4.0,0,Dire,Dazzle,5
565,4407880657,131,False,3055,4,0,86,2019-02-10 07:31:34,,6,4,15,,0,,1,Dire,Rubick,5
1973,4407694999,131,False,2862,4,0,33,2019-02-10 06:30:50,,4,2,17,1.0,0,,1,Dire,Enigma,2
1986,4407517545,131,False,2458,4,0,81,2019-02-10 05:32:53,,9,3,20,1.0,0,,1,Dire,Chaos Knight,3
1439,4404066988,132,False,2248,4,0,91,2019-02-09 05:15:32,,3,3,26,1.0,0,,1,Dire,Io,3
1267,4403976904,132,True,1728,5,0,5,2019-02-09 04:29:32,,0,5,9,1.0,0,,0,Dire,Crystal Maiden,5
765,4385891486,131,False,2151,5,0,103,2019-02-03 06:20:17,21.0,4,4,19,1.0,0,,1,Dire,Elder Titan,1
39,4344378792,129,False,3590,4,0,110,2019-01-19 07:18:54,21.0,14,6,37,,0,4.0,1,Dire,Phoenix,1
